segment,start,end,duration_seconds,text
89,478.314,485.438,7.12,"If you are going to reform the organization, you have to drive management and not allow management to drive you."
104,536.507,537.007,0.5,Absolutely.
105,537.528,539.609,2.08,"Yeah, I think that they make sense."
106,540.75,552.133,11.38,"If you want a secretary general that is able to bring back trust in the organization, it has to start with integrity and with accountability."
107,552.353,554.873,2.52,And I am absolutely willing to do that.
124,606.181,612.427,6.25,"Well, I said and I repeat that the office of the Secretary General has to be restructured."
125,613.468,618.893,5.43,You cannot do mediation and prevention in a
126,619.515,622.496,2.98,"pyramidal, bureaucratic structure."
127,623.076,624.697,1.62,Bureaucracies are very important.
128,624.717,626.278,1.56,I come from Costa Rica.
129,626.958,629.699,2.74,"I supported the civil service of my country, yes?"
130,630.88,636.242,5.36,But you cannot ask from a bureaucracy to deliver on things they are not.
131,637.443,638.203,0.76,about to do.
132,639.004,646.809,7.8,"And to have flexibility, to be agile, is not part of a bureaucratic structure that is, at the same time, pyramidal."
133,647.27,655.035,7.76,"And that's why, you know, when we were negotiating the Black Sea Initiative, five people worked with me."
134,655.075,656.056,0.98,This was in the Ukraine War.
135,656.196,657.157,0.96,That's for the grain.
136,657.237,657.657,0.42,Exactly.
137,657.697,665.323,7.63,"When we opened up the Black Sea for Trade, that was so important to avoid a food insecurity crisis in the world."
138,666.247,673.712,7.47,"And, you know, I had a very small team, five people that reported only to me, and I reported to the Secretary General."
139,674.052,674.593,0.54,And it worked.
140,675.053,675.233,0.18,Yes.
141,675.513,679.696,4.18,"You know, everything that we wanted to do after that was stopped."
142,680.577,688.742,8.16,"So you need a structure that will be flexible, that will be accountable to the Secretary General, and you need the best team ever."
143,688.842,692.485,3.64,"You know, the Secretary General has to have really robust"
144,692.985,696.927,3.94,and qualified people that are able to take this agenda forward.
145,697.187,697.487,0.3,Good.
163,758.685,767.15,8.47,"Yeah, I know that in the past there was a representation in the Office of the Secretary General of Civil Society that had"
164,767.707,774.771,7.06,that role and that's something to be thought about and restored probably for that to happen.
165,775.251,788.678,13.43,"But also let me say we need to hear civil society and partner with civil society not only because of money, it's not because of financial resources, it's also knowledge and capacities."
166,789.751,794.413,4.66,And that's why I meant that we need to partner much more.
170,803.036,803.976,0.94,Would you establish?
171,804.076,809.458,5.38,I already answered that there was a mechanism in the Office of the Secretary General that could be restored.
172,809.678,811.139,1.46,OK. That's what I said.
173,811.739,814.28,2.54,But I think that civil society also
174,815.066,823.228,8.16,"I'm sorry to say, should not only think about how they influence the UN inside, but how they bring the UN outside."
175,823.268,831.771,8.5,"They can help with that, not only on the one-sided way in which it has always been thought of."
189,895.103,912.789,17.69,"Well, the main mechanism that we have is the human rights pillar and they have mechanisms to do that and it has to be put forward that that is happening and to ask for the intervention of the human rights commissioner."
190,913.55,926.798,13.25,"And I think that in the protection when civil rights have been abused, the main mechanism that the UN has is the human rights pillar."
191,929.468,935.471,6.0,"and maybe thinking aloud now that we have the question, we haven't explained that around."
192,935.771,940.534,4.76,People don't know what are the mechanisms in the UN that we could use.
193,941.234,948.938,7.7,"And that takes my attention to one problem that I haven't thought about, that maybe many people don't know."
194,949.63,954.912,5.28,What are the avenues or mechanisms that they can use to protect themselves with the UN?
195,955.533,961.995,6.46,And so that's probably a problem of communication because we speak in a way that nobody understands.
196,963.556,974.861,11.3,But also a problem of educating the population by the presence of the UN on the ground for them to know what are the mechanisms that can be enacted for that.
201,1000.88,1002.921,2.04,"Another question... Well, they do their job in many parts."
217,1072.042,1091.708,19.67,"Well, I think that one of the things that the Secretary General has done is to create the office of the youth, precisely to preclude what he's saying about, you know, they have to live with the consequences of decisions that they were not part of."
218,1092.972,1096.035,3.06,But probably that mechanism needs strengthening.
219,1096.516,1099.38,2.86,And I have said in my vision statement that we will.
220,1099.92,1104.906,4.99,That one of the things that we are worried about is about the arms of the young people.
221,1106.055,1116.62,10.56,"in front of a world that is changing a job space that they don't know how it will be, et cetera."
222,1117.22,1131.947,14.73,"So it is a very important initiative that the Secretary General has taken, and I think that is something that should be strengthened and expanded for the future."
223,1132.427,1133.788,1.36,But I think that we have
224,1134.438,1151.357,16.92,a good seat there on which to work because the envoy of the youth has started to organize the youth around and it has done a very good job in trying to bring the youth really to the UN.
225,1152.164,1161.089,8.92,But the other part of this is how the UN will open up for the young to come to the UN to work with us.
226,1161.469,1174.515,13.05,"And part of the mechanisms that we had before for underrepresented countries, for young people to come and reinvigorate the UN is now pretty small."
227,1174.775,1177.217,2.44,That is the entry point to the UN.
228,1178.157,1189.781,11.62,"The entry point of the UN requires that you do exams for people to enter, young people to enter the UN at the basic level."
229,1190.241,1191.821,1.58,And that is a permanent job.
230,1192.561,1195.342,2.78,So they can build their career in the UN.
231,1195.742,1204.305,8.56,"But because of the cuts and because of the financial restraint, those exams and those mechanisms have been weakened."
232,1204.845,1205.306,0.46,too much.
233,1205.966,1210.091,4.12,And I think that that is one of the things that should also change.
234,1210.171,1218.641,8.47,"Not only the representation at the political level, it's also the presence of staff of the UN to be able to be there."
235,1219.061,1219.762,0.7,And we need that.
236,1220.843,1224.908,4.06,We need the young people to come into the UN again.
246,1275.612,1282.057,6.44,"Well, we have to fix the financial problem of the UN, yes?"
247,1282.675,1284.256,1.58,And there are three things there.
248,1284.596,1291.378,6.78,"First, we have to ask and demand as UN a stable panorama of finance."
249,1291.698,1302.902,11.2,No organization can reform and do all what we have to do if there is total uncertainty about the budget and the availability of resources in the organization.
250,1303.663,1316.491,12.83,"Second, you will have to convince those that have the responsibility to finance the UN with assessed contributions, not only voluntary contributions, but assessed contributions that are obligations of the state."
251,1317.371,1325.896,8.52,"Now, if you look at the panorama today, the US and China will represent 44% of the financing of the UN."
252,1330.423,1333.485,3.06,"We have to ask ourselves, is that sustainable?"
253,1333.765,1338.488,4.72,"Actually, it's 44% because we put a cap on the maximum."
254,1339.008,1346.233,7.22,"If not, the US will be paying 25% right now, and probably China will go in two years to be also 25%."
255,1348.808,1351.87,3.06,I think that this is a very difficult discussion.
256,1352.03,1355.912,3.88,And let me tell you that most of these experiments have avoided it.
258,1358.834,1359.514,0.68,I think so.
259,1359.714,1369.86,10.15,And I think that we have to put that on the table and find the collision of countries that are willing to open up at least that discussion.
260,1370.54,1374.523,3.98,"But there is a third problem that we have, and it's the financial rules."
261,1375.503,1389.619,14.12,"Because the financial rules that are right now imposed on the UN, they ask us to, and I don't want to enter into all the technicalities of the mechanism."
262,1389.759,1390.239,0.48,You've got 30 seconds.
263,1390.52,1390.72,0.2,Yes.
264,1394.948,1397.77,2.82,"This is... You won't solve it tonight, but just one last..."
265,1397.79,1401.592,3.8,"I am not saying I'm solving it tonight, but this is a difficult thing to understand."
266,1402.132,1409.197,7.06,We have to give back money that we haven't received according to the financial rules that there are today.
267,1409.657,1418.983,9.33,And so what I am telling the countries is that they have to give us a moratorium at least of some of the financial rules for us to be able
268,1419.778,1433.408,13.63,to breathe in the next two to three years and solve the problem because we have to create the trust and the political will in the UN again also to solve the financial problem.
269,1433.728,1436.35,2.62,So we need these three things to happen.
273,1448.639,1449.42,0.78,I never collapse.
275,1451.906,1453.787,1.88,I do relax with my family.
276,1454.408,1455.308,0.9,"Well, tell us one thing."
277,1455.328,1457.569,2.24,"My family, I love to be at home."
278,1457.93,1460.031,2.1,"You know, I always on the run."
279,1460.071,1463.433,3.36,I am always in airports and airplanes.
280,1463.773,1470.317,6.54,"When I go home, I just want to be home and talk to my granddaughter every day."
281,1470.417,1471.418,1.0,That helps a lot.
