start	end	text
1009729	1018236	Not to tick the box, but to make them part of the decision-making in the House, respecting, of course, the intergovernmental nature of the United Nations.
1018476	1020698	But they are the agents of today, not of tomorrow.
1021359	1023401	Kim Run, apply for the job if she gets the job.
1024677	1034803	Okay, another question from the floor, Andrew Gilmore, who's a trustee of the United Nations Association of the United Kingdom, and he's a former Assistant Secretary General for Human Rights.
1035163	1036404	Andrew, the floor is yours.
1037779	1039519	10,000 steps for you tonight, sir.
1039719	1040380	Thank you so much.
1040880	1041300	Good evening.
1041860	1054462	As part of the warm-up this evening before you came on, we were shown an opinion poll that reflected that of all the many areas of activity of the UN, it's the UN's performance in human rights is the lowest.
1055662	1063664	The last Secretary General, Ban Ki-moon, about 12 years ago, launched a major initiative called the Human Rights Upfront Initiative.
1063704	1064464	Many consider it
1065241	1068686	the most important initiative ever in the history of the UN in human rights.
1069488	1077961	Rather sadly, it's been allowed to expire slowly, and I was wondering if you would consider re-initiating it.
1079345	1079965	This was in 2013.
1080005	1081385	Thank you, Moon.
1081806	1090528	First of all, I think all good initiatives from the past and the current administration are not a leader of slash and burn.
1091048	1096969	All the good examples, all the good initiatives in the three pillars of the UN, of course, I will embrace them.
1097489	1102250	If they became out of date, I will look at that, of course.
1102610	1109192	But coming back to the human rights issue, this is part of the three pillars of the UN.
1109652	1113717	Human rights is part of the job description of the UN.
1114177	1121905	Everything we do, everything the organisation does, has to really look at human dignity.
1122806	1129893	Human dignity has to be at the centre of everything we do in development, everything we do in peace and security.
1130573	1131533	and believe me.
1131953	1140255	Would you do like Ban Ki-moon and do this a very specific process of reform to put human rights at the center of everything the UN does?
1140335	1142396	He launched a specific initiative.
1142976	1152778	Well, right now I would say every action that the UN does has to embed human dignity and human rights.
1153348	1160013	I don't know if there is, you know, the right environment to have a dedicated initiative.
1160313	1172342	What I can say, however, is the overall budget of the UN depends on how you come from one to three percent of the entire budget of the UN is dedicated to human rights.
1172783	1174204	And this tells you something.
1174484	1176245	We need to do more and better.
1177666	1180610	in a context of austerity that we're living today.
1181331	1190442	Every good idea, every good idea is of course of you, especially if it has to do with strengthening the human rights pillar of the organization.
1191598	1198463	A question now from the London clean energy round table.
1198623	1202105	It's an emerging technology and innovation platform.
1202766	1219558	In a world facing escalating climate energy and geopolitical crisis, how would you strengthen collaboration between governments, industry, youth, civil society to accelerate implementation rather than only negotiations and commitments?
1219598	1221179	In other words, just talking shops.
1223232	1229456	The issue of building networks and partnerships is absolutely vital in the world of today.
1230016	1239222	When we speak about climate change, we understood a long time ago that climate change is not anymore an environmental issue.
1240123	1249129	We understood that climate shocks can trigger conflict, can alter entire macroeconomics of a country.
1250035	1254136	are connected to health, are connected to everything we do.
1254596	1261958	So any response to the climate emergency has to factor in this complexity.
1262058	1267320	But how can you factor in the complexity is to bring all the actors together.
1267760	1269580	You said something very important, Liz.
1270381	1278843	If you ask a person coming from Mars or Jupiter that we have met 31 times soon now in Turkey,
1279613	1288319	on conference of the parties to discuss and negotiate climate agreements and after 31 years emissions continue to grow.
1288919	1296644	There is a huge implementation gap that we have to deal with and one of the answers to that is
1297188	1307899	the complexity address climate change from a peace and security perspective, from a conflict perspective, from a health perspective, from a development perspective.
1308380	1312864	It is the defining challenge of our times.
1313405	1315787	Complexity requires complex responses.
1316528	1318350	well organized responses.
1318510	1328338	I have to say within the UN, I would say there is a need for greater coherence, less duplication and better working together within the system.
1328518	1333062	I have seen it from the outside and I think it needs a major restructuring.
1334462	1341585	the UN delivering as one on climate, supporting member states to respond to the climate challenges of today.
1342745	1348107	And just to say one more sentence, I am here representing a small island developing state.
1348815	1352836	I know, I know closely what a climate shock can do.
1353156	1359257	It can devastate and erase the entire infrastructure of a country.
1359578	1362178	So it is the defining challenge of our time.
1362618	1363658	We're running out of time.
1363779	1365139	I have one last question.
1365879	1369640	And it is from Ian Bell from Northeast Hertfordshire of the Labour Party.
1370520	1372743	in the United Kingdom, the governing Labour Party.
1373283	1388800	His question, can we, given we are on course to fall short of the UN sustainability goals by 2030, do you think they have to be rethought to fit into today's ever increasing world of isolationism, tariffs and aid cuts?
1389220	1391062	And if they are going to be rethought, how?
1393168	1397813	I think the Sustainable Development Goals are the right ambition.
1398014	1398754	I said that.
1403267	1405788	a reference and aspirational agenda.
1405948	1407329	And I think it's very important.
1407749	1410991	It's one of the big successes of multilateralism.
1411791	1424558	And what I would do before we get to 2030 is put in motion the acceleration plans for implementation, of course, but I think that the UN cannot be
1425815	1429298	an implementer of development projects on the ground.
1429458	1438566	I said development has to be owned by countries because developing countries, and I come from one, we need three things.
1439286	1440568	And that's what I would work on.
1441148	1446935	The money, mobilized resources, the technologies, and the capacity, strong institutions.
1447015	1450359	But the development cannot be delivered from New York.
1450459	1456246	It has to be delivered under the rule of local first, the subsidiarity principle.
1457768	1470298	Last question but it's very short answer because we are over time but in interest of fairness, it's one of the toughest jobs in the world but the citizens don't want you falling asleep at your desk or going mad.
1470758	1472520	Very briefly, how will you relax?
1475300	1485128	Well, I will go to the first botanical garden next to me, if it's all buildings, because I think that nature gives you the energy.
1485568	1490032	But I will also listen to elders and the elders that I grew up with.
1490632	1495155	especially the ones I spent five years with in the Ecuadorian Amazon.
1495475	1500839	That was my school, my university, where I learned solidarity and resilience the most.
1501139	1502320	I will call one of them.
1502540	1504501	They do have cell phones these days.
1504801	1507003	At the time where I was living at the Amazon, they didn't.
1507383	1511866	So I will listen to the voices of wisdom and connect to nature.
1512186	1513127	To some tree baby.
1513507	1515649	Maria Fernanda Espinosa, thank you very much.
1515669	1516069	Thank you, Liz.
1516229	1516709	Thank you.
1516990	1517390	Thank you.
1520738	1521119	Thank you.
1521621	1522343	Thank you so much.
1522363	1522824	Thank you.
1523085	1523486	Thank you.
1523526	1523947	Thank you.
